Rank,Name,BSC_Market_Cap
1,Circle Internet Group (Ondo Tokenized),137833659.12
2,Micron Technology (Ondo Tokenized),76939028.27
3,NVIDIA (Ondo Tokenized),36692965.73
4,Alphabet Class A (Ondo Tokenized),31225487.84
5,Ondo U.S. Dollar Token,30759521.64
6,Invesco QQQ (Ondo Tokenized),24373217.25
7,Marvell Technology (Ondo Tokenized),21290287.43
8,Tesla (Ondo Tokenized),20509716.09
9,Intel (Ondo Tokenized),11642399.87
10,Microsoft (Ondo Tokenized),11434018.9
11,Oracle (Ondo Tokenized),10935288.51
12,MicroStrategy (Ondo Tokenized),9955069.04
13,Apple (Ondo Tokenized),9004041.05
14,Taiwan Semiconductor Manufacturing (Ondo Tokenized),8310785.82
15,AMD (Ondo Tokenized),7520874.89
16,Qualcomm (Ondo Tokenized),6505122.42
17,iShares Silver Trust (Ondo Tokenized),6434987.51
18,Coinbase (Ondo Tokenized),6308959.95
19,Arm Holdings plc (Ondo Tokenized),4236863.55
20,SPDR S&P 500 ETF (Ondo Tokenized),3735517.32
21,Amazon (Ondo Tokenized),3713459.88
22,Meta Platforms (Ondo Tokenized),3191889.79
23,Palantir Technologies (Ondo Tokenized),2746055.93
24,Robinhood Markets (Ondo Tokenized),2333821.41
25,Alibaba (Ondo Tokenized),1628681.41
26,iShares Gold Trust (Ondo Tokenized),1514737.93
27,Broadcom (Ondo Tokenized),1381562.69
28,Futu Holdings (Ondo Tokenized),1265906.63
29,ServiceNow (Ondo Tokenized),1171448.8
30,IBM (Ondo Tokenized),1016286.74
31,ASML Holding NV (Ondo Tokenized),920360.54
32,Nike (Ondo Tokenized),743325.46
33,Hims & Hers Health (Ondo Tokenized),699680.43
34,Super Micro Computer (Ondo Tokenized),661396.88
35,Snowflake (Ondo Tokenized),595316.71
36,Adobe (Ondo Tokenized),430925.71
37,Novo Nordisk (Ondo Tokenized),415637.27
38,Salesforce (Ondo Tokenized),408668.01
39,iShares Core S&P 500 ETF (Ondo Tokenized),394043.69
40,D-Wave Quantum (Ondo Tokenized),359439.62
41,MARA Holdings (Ondo Tokenized),324364.66
42,iShares 20+ Year Treasury Bond ETF (Ondo Tokenized),289536.32
43,Eli Lilly (Ondo Tokenized),289330.09
44,McDonald's (Ondo Tokenized),264325.38
45,Baidu (Ondo Tokenized),239478.61
46,Chevron (Ondo Tokenized),229036.33
47,Netflix (Ondo Tokenized),187565.0
48,iShares MSCI Emerging Markets ETF (Ondo Tokenized),168823.57
49,PayPal (Ondo Tokenized),148568.36
50,Boeing (Ondo Tokenized),138521.65
51,Reddit (Ondo Tokenized),128472.7
52,AppLovin (Ondo Tokenized),112225.52
53,GameStop (Ondo Tokenized),104157.15
54,UnitedHealth (Ondo Tokenized),94743.1
55,Lockheed (Ondo Tokenized),94395.53
56,Coca-Cola (Ondo Tokenized),91958.59
57,SharpLink Gaming (Ondo Tokenized),91567.41
58,Pfizer (Ondo Tokenized),89647.16
59,JPMorgan Chase (Ondo Tokenized),79066.4
60,Goldman Sachs (Ondo Tokenized),74302.6
61,General Electric (Ondo Tokenized),67914.42
62,JD.com (Ondo Tokenized),67778.67
63,Mastercard (Ondo Tokenized),56368.61
64,Figma (Ondo Tokenized),53466.22
65,iShares Core MSCI EAFE ETF (Ondo Tokenized),53214.18
66,Riot Platforms (Ondo Tokenized),48262.5
67,"Blackrock, Inc. (Ondo Tokenized)",47182.48
68,Intuit (Ondo Tokenized),45536.09
69,Palo Alto Networks (Ondo Tokenized),45409.85
70,Visa (Ondo Tokenized),43516.83
71,Shopify (Ondo Tokenized),42809.89
72,S&P Global (Ondo Tokenized),39989.89
73,Cisco Systems (Ondo Tokenized),38246.83
74,American Express (Ondo Tokenized),36886.04
75,MercadoLibre (Ondo Tokenized),32276.44
76,Costco (Ondo Tokenized),31880.06
77,Procter & Gamble (Ondo Tokenized),30716.89
78,Walmart (Ondo Tokenized),30307.92
79,Toyota (Ondo Tokenized),28887.98
80,Petrobras (Ondo Tokenized),28777.92
81,Spotify (Ondo Tokenized),28547.41
82,Uber (Ondo Tokenized),26057.16
83,iShares Core US Aggregate Bond ETF (Ondo Tokenized),22328.97
84,Accenture (Ondo Tokenized),20310.55
85,iShares Russell 2000 ETF (Ondo Tokenized),19144.79
86,iShares Core MSCI Emerging Markets ETF (Ondo Tokenized),17013.01
87,Abbott (Ondo Tokenized),13590.53
88,Disney (Ondo Tokenized),9262.71
89,iShares MSCI EAFE ETF (Ondo Tokenized),8922.06
90,iShares TIPS Bond ETF (Ondo Tokenized),8679.54
91,Linde plc (Ondo Tokenized),7516.08
92,Equinix (Ondo Tokenized),5345.27
93,DoorDash (Ondo Tokenized),5124.67
94,iShares Core S&P MidCap ETF (Ondo Tokenized),4249.9
95,Chipotle (Ondo Tokenized),3675.6
96,PepsiCo (Ondo Tokenized),3555.13
97,iBoxx $ High Yield Corporate Bond ETF (Ondo Tokenized),3483.94
98,iShares Russell 1000 Growth ETF (Ondo Tokenized),2871.72
99,iShares Core S&P Total US Stock Market ETF (Ondo Tokenized),2344.25
100,Apollo Global Management (Ondo Tokenized),2100.54
101,Airbnb (Ondo Tokenized),1403.78
102,Starbucks (Ondo Tokenized),1363.25
103,Wells Fargo (Ondo Tokenized),1144.71
104,iShares Russell 2000 Value ETF (Ondo Tokenized),378.0
105,ON Semiconductor (Ondo Tokenized),0.0
106,PDD Holdings (Ondo Tokenized),0.0
107,Invesco Optimum Yld Dvsfd Cmd Str No K-1 ETF (Ondo Tokenized),0.0
108,Pinterest (Ondo Tokenized),0.0
109,PG&E (Ondo Tokenized),0.0
110,Occidental Petroleum (Ondo Tokenized),0.0
111,Oscar Health (Ondo Tokenized),0.0
112,Opendoor Technologies (Ondo Tokenized),0.0
113,abrdn Physical Palladium Shares ETF (Ondo Tokenized),0.0
114,Opera (Ondo Tokenized),0.0
115,ProShares Short QQQ (Ondo Tokenized),0.0
116,abrdn Physical Platinum Shares ETF (Ondo Tokenized),0.0
117,Plug Power (Ondo Tokenized),0.0
118,Global X US Infrastructure Development ETF (Ondo Tokenized),0.0
119,American Airlines Group (Ondo Tokenized),0.0
120,Quantum Computing (Ondo Tokenized),0.0
121,Thermo Fisher Scientific (Ondo Tokenized),0.0
122,AT&T (Ondo Tokenized),0.0
123,ProShares UltraPro QQQ (Ondo Tokenized),0.0
124,Texas Instruments (Ondo Tokenized),0.0
125,Uranium Energy (Ondo Tokenized),0.0
126,US Natural Gas Fund (Ondo Tokenized),0.0
127,Union Pacific Corporation (Ondo Tokenized),0.0
128,Global X Uranium ETF (Ondo Tokenized),0.0
129,WisdomTree Floating Rate Treasury Fund (Ondo Tokenized),0.0
130,United States Oil Fund (Ondo Tokenized),0.0
131,VinFast Auto (Ondo Tokenized),0.0
132,Vanguard Real Estate ETF (Ondo Tokenized),0.0
133,Vertiv (Ondo Tokenized),0.0
134,Vertex Pharmaceuticals (Ondo Tokenized),0.0
135,Vistra (Ondo Tokenized),0.0
136,Vanguard Total Stock Market ETF (Ondo Tokenized),0.0
137,Vanguard Value ETF (Ondo Tokenized),0.0
138,Verizon (Ondo Tokenized),0.0
139,Western Digital (Ondo Tokenized),0.0
140,Waste Management (Ondo Tokenized),0.0
141,Terawulf (Ondo Tokenized),0.0
142,Exxon Mobil (Ondo Tokenized),0.0
143,T-Mobile US (Ondo Tokenized),0.0
144,Talen Energy (Ondo Tokenized),0.0
145,Redwire (Ondo Tokenized),0.0
146,Trip.com Group (Ondo Tokenized),0.0
147,Regeneron Pharmaceuticals (Ondo Tokenized),0.0
148,VanEck Rare Earth and Strategic Metals ETF (Ondo Tokenized),0.0
149,Rigetti Computing (Ondo Tokenized),0.0
150,Rivian Automotive (Ondo Tokenized),0.0
151,Rocket Lab (Ondo Tokenized),0.0
152,RTX (Ondo Tokenized),0.0
153,Southern Copper (Ondo Tokenized),0.0
154,Charles Schwab (Ondo Tokenized),0.0
155,SolarEdge Technologies (Ondo Tokenized),0.0
156,iShares 0-3 Month Treasury Bond ETF (Ondo Tokenized),0.0
157,Oklo (Ondo Tokenized),0.0
158,iShares 1-3 Year Treasury Bond ETF (Ondo Tokenized),0.0
159,Snap (Ondo Tokenized),0.0
160,SanDisk (Ondo Tokenized),0.0
161,SoFi Technologies (Ondo Tokenized),0.0
162,Southern (Ondo Tokenized),0.0
163,SoundHound AI (Ondo Tokenized),0.0
164,iShares Semiconductor ETF (Ondo Tokenized),0.0
165,ProShares UltraPro Short QQQ (Ondo Tokenized),0.0
166,Strategy Stretch Preferred (Ondo Tokenized),0.0
167,Seagate (Ondo Tokenized),0.0
168,Ondas Holdings (Ondo Tokenized),0.0
169,KLA (Ondo Tokenized),0.0
170,VanEck Oil Services ETF (Ondo Tokenized),0.0
171,NetEase (Ondo Tokenized),0.0
172,Cipher Mining (Ondo Tokenized),0.0
173,iShares AAA CLO Active ETF (Ondo Tokenized),0.0
174,VanEck CLO ETF (Ondo Tokenized),0.0
175,Capital One (Ondo Tokenized),0.0
176,Coherent (Ondo Tokenized),0.0
177,Citigroup (Ondo Tokenized),0.0
178,ConocoPhillips (Ondo Tokenized),0.0
179,Global X Copper Miners ETF (Ondo Tokenized),0.0
180,Coupang (Ondo Tokenized),0.0
181,CrowdStrike (Ondo Tokenized),0.0
182,CoreWeave (Ondo Tokenized),0.0
183,Carvana (Ondo Tokenized),0.0
184,Invesco DB Commodity Index Tracking Fund (Ondo Tokenized),0.0
185,Deere (Ondo Tokenized),0.0
186,WisdomTree US Quality Dividend Growth Fund (Ondo Tokenized),0.0
187,Denison Mines (Ondo Tokenized),0.0
188,iShares MSCI Chile ETF (Ondo Tokenized),0.0
189,Enlivex Therapeutics (Ondo Tokenized),0.0
190,Enphase Energy (Ondo Tokenized),0.0
191,iShares Ethereum Trust (Ondo Tokenized),0.0
192,Eaton (Ondo Tokenized),0.0
193,First Trust NASDAQ Cybersecurity ETF (Ondo Tokenized),0.0
194,Constellation Energy (Ondo Tokenized),0.0
195,Caterpillar (Ondo Tokenized),0.0
196,AST SpaceMobile (Ondo Tokenized),0.0
197,AbbVie (Ondo Tokenized),0.0
198,Archer Aviation (Ondo Tokenized),0.0
199,Analog Devices (Ondo Tokenized),0.0
200,Albemarle (Ondo Tokenized),0.0
201,Applied Materials (Ondo Tokenized),0.0
202,AMC Entertainment (Ondo Tokenized),0.0
203,Amgen (Ondo Tokenized),0.0
204,Arista Networks (Ondo Tokenized),0.0
205,Applied Digital (Ondo Tokenized),0.0
206,Bank of America (Ondo Tokenized),0.0
207,Capricor Therapeutics (Ondo Tokenized),0.0
208,BigBear.ai Holdings (Ondo Tokenized),0.0
209,Bilibili (Ondo Tokenized),0.0
210,iShares Flexible Income Active ETF (Ondo Tokenized),0.0
211,Bullish (Ondo Tokenized),0.0
212,BitMine Immersion Technologies (Ondo Tokenized),0.0
213,US Brent Oil Fund (Ondo Tokenized),0.0
214,B2Gold (Ondo Tokenized),0.0
215,BitGo Holdings (Ondo Tokenized),0.0
216,Kanzhun (Ondo Tokenized),0.0
217,iShares MSCI Japan ETF (Ondo Tokenized),0.0
218,iShares MSCI South Korea ETF (Ondo Tokenized),0.0
219,iShares MSCI Brazil ETF (Ondo Tokenized),0.0
220,Intuitive Machines (Ondo Tokenized),0.0
221,Iren (Ondo Tokenized),0.0
222,Intuitive Surgical (Ondo Tokenized),0.0
223,iShares US Aerospace and Defense ETF (Ondo Tokenized),0.0
224,Janus Henderson AAA CLO ETF (Ondo Tokenized),0.0
225,Johnson & Johnson (Ondo Tokenized),0.0
226,KraneShares CSI China Internet ETF (Ondo Tokenized),0.0
227,Li Auto (Ondo Tokenized),0.0
228,Lowe's (Ondo Tokenized),0.0
229,Lam Research (Ondo Tokenized),0.0
230,MP Materials (Ondo Tokenized),0.0
231,iShares MSCI India ETF (Ondo Tokenized),0.0
232,Merck (Ondo Tokenized),0.0
233,Moderna (Ondo Tokenized),0.0
234,MasTec (Ondo Tokenized),0.0
235,Nebius Group (Ondo Tokenized),0.0
236,NextEra Energy (Ondo Tokenized),0.0
237,Newmont (Ondo Tokenized),0.0
238,Sprott Nickel Miners ETF (Ondo Tokenized),0.0
239,NIO (Ondo Tokenized),0.0
240,Northrop Grumman (Ondo Tokenized),0.0
241,IonQ (Ondo Tokenized),0.0
242,Franklin Income Equity Focus ETF (Ondo Tokenized),0.0
243,Exodus Movement (Ondo Tokenized),0.0
244,iShares China Large-Cap ETF (Ondo Tokenized),0.0
245,Freeport-McMoRan (Ondo Tokenized),0.0
246,Franklin Focused Growth ETF (Ondo Tokenized),0.0
247,Franklin Responsibly Sourced Gold ETF (Ondo Tokenized),0.0
248,Figure Technology Solutions (Ondo Tokenized),0.0
249,Franklin High Yield Corporate ETF (Ondo Tokenized),0.0
250,Franklin US Large Cap Multifactor Index ETF (Ondo Tokenized),0.0
251,Ford Motor (Ondo Tokenized),0.0
252,Fidelity Solana Fund (Ondo Tokenized),0.0
253,First Trust Global Tactical Commodity Strategy Fund (Ondo Tokenized),0.0
254,Gemini Space Station (Ondo Tokenized),0.0
255,iShares 7-10 Year Treasury Bond ETF (Ondo Tokenized),0.0
256,GE Vernova (Ondo Tokenized),0.0
257,SPDR Gold Shares (Ondo Tokenized),0.0
258,abrdn Physical Precious Metals Basket Shares ETF (Ondo Tokenized),0.0
259,Galaxy Digital (Ondo Tokenized),0.0
260,Grab Holdings (Ondo Tokenized),0.0
261,Grindr (Ondo Tokenized),0.0
262,Home Depot (Ondo Tokenized),0.0
263,PIMCO 0-5 Year High Yield Corporate Bond Index ETF (Ondo Tokenized),0.0
264,iShares Bitcoin Trust (Ondo Tokenized),0.0
265,Block (Ondo Tokenized),0.0
