Rank,Name,BSC_Whale_Top10_Pct
1,iShares AAA CLO Active ETF (Ondo Tokenized),100.57
2,abrdn Physical Platinum Shares ETF (Ondo Tokenized),100.1
3,Grindr (Ondo Tokenized),100.02
4,Ondo U.S. Dollar Token,100.01
5,Franklin High Yield Corporate ETF (Ondo Tokenized),100.0
6,Vertex Pharmaceuticals (Ondo Tokenized),100.0
7,Franklin Responsibly Sourced Gold ETF (Ondo Tokenized),100.0
8,VanEck CLO ETF (Ondo Tokenized),100.0
9,abrdn Physical Precious Metals Basket Shares ETF (Ondo Tokenized),100.0
10,Franklin Focused Growth ETF (Ondo Tokenized),100.0
11,WisdomTree Floating Rate Treasury Fund (Ondo Tokenized),100.0
12,Invesco DB Commodity Index Tracking Fund (Ondo Tokenized),100.0
13,Capricor Therapeutics (Ondo Tokenized),100.0
14,Vanguard Real Estate ETF (Ondo Tokenized),100.0
15,Lowe's (Ondo Tokenized),100.0
16,Regeneron Pharmaceuticals (Ondo Tokenized),100.0
17,Southern (Ondo Tokenized),100.0
18,Waste Management (Ondo Tokenized),100.0
19,Franklin Income Equity Focus ETF (Ondo Tokenized),100.0
20,Carvana (Ondo Tokenized),100.0
21,iShares 1-3 Year Treasury Bond ETF (Ondo Tokenized),100.0
22,Janus Henderson AAA CLO ETF (Ondo Tokenized),99.99
23,Verizon (Ondo Tokenized),99.99
24,Home Depot (Ondo Tokenized),99.98
25,Union Pacific Corporation (Ondo Tokenized),99.98
26,iShares MSCI Chile ETF (Ondo Tokenized),99.98
27,Opendoor Technologies (Ondo Tokenized),99.97
28,Exodus Movement (Ondo Tokenized),99.97
29,Fidelity Solana Fund (Ondo Tokenized),99.97
30,Kanzhun (Ondo Tokenized),99.96
31,iShares Flexible Income Active ETF (Ondo Tokenized),99.96
32,iShares US Aerospace and Defense ETF (Ondo Tokenized),99.96
33,iShares 7-10 Year Treasury Bond ETF (Ondo Tokenized),99.95
34,Galaxy Digital (Ondo Tokenized),99.94
35,iShares Ethereum Trust (Ondo Tokenized),99.93
36,Oscar Health (Ondo Tokenized),99.93
37,First Trust Global Tactical Commodity Strategy Fund (Ondo Tokenized),99.92
38,Block (Ondo Tokenized),99.9
39,US Brent Oil Fund (Ondo Tokenized),99.9
40,Northrop Grumman (Ondo Tokenized),99.89
41,Chipotle (Ondo Tokenized),99.89
42,Vanguard Value ETF (Ondo Tokenized),99.88
43,Amgen (Ondo Tokenized),99.88
44,Deere (Ondo Tokenized),99.88
45,Apollo Global Management (Ondo Tokenized),99.87
46,Opera (Ondo Tokenized),99.87
47,T-Mobile US (Ondo Tokenized),99.86
48,Global X US Infrastructure Development ETF (Ondo Tokenized),99.85
49,MasTec (Ondo Tokenized),99.83
50,Capital One (Ondo Tokenized),99.82
51,Southern Copper (Ondo Tokenized),99.8
52,PG&E (Ondo Tokenized),99.77
53,US Natural Gas Fund (Ondo Tokenized),99.76
54,iShares TIPS Bond ETF (Ondo Tokenized),99.74
55,KraneShares CSI China Internet ETF (Ondo Tokenized),99.73
56,VanEck Oil Services ETF (Ondo Tokenized),99.66
57,AbbVie (Ondo Tokenized),99.66
58,Terawulf (Ondo Tokenized),99.6
59,Caterpillar (Ondo Tokenized),99.59
60,Rivian Automotive (Ondo Tokenized),99.57
61,Franklin US Large Cap Multifactor Index ETF (Ondo Tokenized),99.56
62,Freeport-McMoRan (Ondo Tokenized),99.54
63,PIMCO 0-5 Year High Yield Corporate Bond Index ETF (Ondo Tokenized),99.51
64,iShares MSCI India ETF (Ondo Tokenized),99.5
65,Coupang (Ondo Tokenized),99.5
66,Occidental Petroleum (Ondo Tokenized),99.49
67,iShares Core S&P Total US Stock Market ETF (Ondo Tokenized),99.47
68,iShares Russell 1000 Growth ETF (Ondo Tokenized),99.47
69,Albemarle (Ondo Tokenized),99.41
70,Bullish (Ondo Tokenized),99.41
71,Enphase Energy (Ondo Tokenized),99.39
72,Ford Motor (Ondo Tokenized),99.36
73,Eaton (Ondo Tokenized),99.36
74,Thermo Fisher Scientific (Ondo Tokenized),99.34
75,WisdomTree US Quality Dividend Growth Fund (Ondo Tokenized),99.32
76,First Trust NASDAQ Cybersecurity ETF (Ondo Tokenized),99.29
77,AMC Entertainment (Ondo Tokenized),99.21
78,ON Semiconductor (Ondo Tokenized),99.17
79,DoorDash (Ondo Tokenized),99.14
80,Baidu (Ondo Tokenized),98.99
81,Pinterest (Ondo Tokenized),98.92
82,Texas Instruments (Ondo Tokenized),98.89
83,iShares Russell 2000 Value ETF (Ondo Tokenized),98.86
84,iShares Core US Aggregate Bond ETF (Ondo Tokenized),98.83
85,Goldman Sachs (Ondo Tokenized),98.81
86,MARA Holdings (Ondo Tokenized),98.73
87,GameStop (Ondo Tokenized),98.72
88,Invesco Optimum Yld Dvsfd Cmd Str No K-1 ETF (Ondo Tokenized),98.65
89,Equinix (Ondo Tokenized),98.58
90,iShares MSCI Brazil ETF (Ondo Tokenized),98.43
91,VinFast Auto (Ondo Tokenized),98.31
92,Grab Holdings (Ondo Tokenized),98.17
93,iBoxx $ High Yield Corporate Bond ETF (Ondo Tokenized),98.13
94,Starbucks (Ondo Tokenized),98.05
95,Airbnb (Ondo Tokenized),97.94
96,Merck (Ondo Tokenized),97.89
97,iShares MSCI EAFE ETF (Ondo Tokenized),97.83
98,Accenture (Ondo Tokenized),97.81
99,Charles Schwab (Ondo Tokenized),97.6
100,SharpLink Gaming (Ondo Tokenized),97.59
101,Newmont (Ondo Tokenized),97.58
102,Snap (Ondo Tokenized),97.58
103,SoundHound AI (Ondo Tokenized),97.54
104,SolarEdge Technologies (Ondo Tokenized),97.48
105,Palo Alto Networks (Ondo Tokenized),97.43
106,iShares Bitcoin Trust (Ondo Tokenized),97.42
107,Costco (Ondo Tokenized),96.99
108,Vanguard Total Stock Market ETF (Ondo Tokenized),96.93
109,Talen Energy (Ondo Tokenized),96.84
110,Procter & Gamble (Ondo Tokenized),96.81
111,BigBear.ai Holdings (Ondo Tokenized),96.59
112,Snowflake (Ondo Tokenized),96.56
113,S&P Global (Ondo Tokenized),96.51
114,Palantir Technologies (Ondo Tokenized),96.51
115,Sprott Nickel Miners ETF (Ondo Tokenized),96.49
116,VanEck Rare Earth and Strategic Metals ETF (Ondo Tokenized),96.19
117,AT&T (Ondo Tokenized),96.13
118,KLA (Ondo Tokenized),96.03
119,"Blackrock, Inc. (Ondo Tokenized)",96.02
120,Linde plc (Ondo Tokenized),96.01
121,Spotify (Ondo Tokenized),96.01
122,Riot Platforms (Ondo Tokenized),95.96
123,iShares MSCI Japan ETF (Ondo Tokenized),95.94
124,Ondas Holdings (Ondo Tokenized),95.8
125,Trip.com Group (Ondo Tokenized),95.65
126,BitGo Holdings (Ondo Tokenized),95.64
127,NetEase (Ondo Tokenized),95.58
128,CrowdStrike (Ondo Tokenized),95.49
129,JPMorgan Chase (Ondo Tokenized),95.44
130,iShares China Large-Cap ETF (Ondo Tokenized),95.35
131,RTX (Ondo Tokenized),95.03
132,Global X Uranium ETF (Ondo Tokenized),94.98
133,Citigroup (Ondo Tokenized),94.97
134,Figure Technology Solutions (Ondo Tokenized),94.92
135,Coinbase (Ondo Tokenized),94.89
136,iShares MSCI Emerging Markets ETF (Ondo Tokenized),94.65
137,Walmart (Ondo Tokenized),94.56
138,General Electric (Ondo Tokenized),94.33
139,ASML Holding NV (Ondo Tokenized),94.29
140,iShares Core MSCI EAFE ETF (Ondo Tokenized),94.25
141,iShares Russell 2000 ETF (Ondo Tokenized),94.12
142,Lam Research (Ondo Tokenized),94.07
143,B2Gold (Ondo Tokenized),94.04
144,iShares MSCI South Korea ETF (Ondo Tokenized),93.94
145,Disney (Ondo Tokenized),93.91
146,Salesforce (Ondo Tokenized),93.9
147,Adobe (Ondo Tokenized),93.85
148,Moderna (Ondo Tokenized),93.81
149,Apple (Ondo Tokenized),93.74
150,Arm Holdings plc (Ondo Tokenized),93.49
151,Reddit (Ondo Tokenized),93.47
152,Applied Materials (Ondo Tokenized),93.44
153,Exxon Mobil (Ondo Tokenized),93.34
154,IonQ (Ondo Tokenized),93.29
155,Cipher Mining (Ondo Tokenized),93.2
156,Archer Aviation (Ondo Tokenized),93.2
157,iShares Core S&P MidCap ETF (Ondo Tokenized),93.12
158,Arista Networks (Ondo Tokenized),93.1
159,American Express (Ondo Tokenized),92.87
160,MercadoLibre (Ondo Tokenized),92.8
161,American Airlines Group (Ondo Tokenized),92.78
162,iShares 20+ Year Treasury Bond ETF (Ondo Tokenized),92.77
163,SoFi Technologies (Ondo Tokenized),92.73
164,AppLovin (Ondo Tokenized),92.73
165,Analog Devices (Ondo Tokenized),92.72
166,Bank of America (Ondo Tokenized),92.61
167,Strategy Stretch Preferred (Ondo Tokenized),92.61
168,PayPal (Ondo Tokenized),92.29
169,GE Vernova (Ondo Tokenized),92.28
170,Toyota (Ondo Tokenized),92.23
171,D-Wave Quantum (Ondo Tokenized),91.97
172,Eli Lilly (Ondo Tokenized),91.89
173,Shopify (Ondo Tokenized),91.85
174,Wells Fargo (Ondo Tokenized),91.7
175,Boeing (Ondo Tokenized),91.65
176,Intuit (Ondo Tokenized),91.61
177,Nike (Ondo Tokenized),91.03
178,MP Materials (Ondo Tokenized),90.87
179,Novo Nordisk (Ondo Tokenized),90.86
180,SanDisk (Ondo Tokenized),90.78
181,Uranium Energy (Ondo Tokenized),90.63
182,Bilibili (Ondo Tokenized),90.45
183,Mastercard (Ondo Tokenized),90.3
184,Qualcomm (Ondo Tokenized),89.66
185,Petrobras (Ondo Tokenized),89.65
186,Robinhood Markets (Ondo Tokenized),89.57
187,Lockheed (Ondo Tokenized),89.37
188,Vertiv (Ondo Tokenized),89.37
189,ProShares Short QQQ (Ondo Tokenized),89.31
190,Abbott (Ondo Tokenized),89.18
191,NextEra Energy (Ondo Tokenized),89.02
192,Cisco Systems (Ondo Tokenized),88.97
193,Plug Power (Ondo Tokenized),88.88
194,Oracle (Ondo Tokenized),88.87
195,iShares Core MSCI Emerging Markets ETF (Ondo Tokenized),88.54
196,Uber (Ondo Tokenized),88.23
197,ProShares UltraPro Short QQQ (Ondo Tokenized),88.16
198,abrdn Physical Palladium Shares ETF (Ondo Tokenized),87.97
199,Pfizer (Ondo Tokenized),87.46
200,Seagate (Ondo Tokenized),87.1
201,Applied Digital (Ondo Tokenized),87.1
202,Constellation Energy (Ondo Tokenized),87.04
203,Meta Platforms (Ondo Tokenized),86.95
204,Invesco QQQ (Ondo Tokenized),86.89
205,Vistra (Ondo Tokenized),86.29
206,Taiwan Semiconductor Manufacturing (Ondo Tokenized),86.15
207,Rigetti Computing (Ondo Tokenized),86.01
208,Amazon (Ondo Tokenized),85.92
209,Hims & Hers Health (Ondo Tokenized),85.84
210,Western Digital (Ondo Tokenized),85.33
211,Johnson & Johnson (Ondo Tokenized),85.27
212,MicroStrategy (Ondo Tokenized),84.74
213,iShares Gold Trust (Ondo Tokenized),84.71
214,Figma (Ondo Tokenized),84.64
215,PepsiCo (Ondo Tokenized),84.27
216,McDonald's (Ondo Tokenized),84.06
217,Denison Mines (Ondo Tokenized),83.83
218,Li Auto (Ondo Tokenized),83.8
219,Super Micro Computer (Ondo Tokenized),83.76
220,Microsoft (Ondo Tokenized),82.98
221,NVIDIA (Ondo Tokenized),82.89
222,Alphabet Class A (Ondo Tokenized),82.87
223,Coherent (Ondo Tokenized),82.86
224,Global X Copper Miners ETF (Ondo Tokenized),82.2
225,CoreWeave (Ondo Tokenized),82.14
226,Intuitive Surgical (Ondo Tokenized),82.13
227,Futu Holdings (Ondo Tokenized),82.12
228,Iren (Ondo Tokenized),82.06
229,ConocoPhillips (Ondo Tokenized),82.02
230,Enlivex Therapeutics (Ondo Tokenized),81.6
231,AMD (Ondo Tokenized),81.3
232,Circle Internet Group (Ondo Tokenized),81.16
233,Gemini Space Station (Ondo Tokenized),80.64
234,Intel (Ondo Tokenized),80.55
235,Coca-Cola (Ondo Tokenized),80.22
236,Marvell Technology (Ondo Tokenized),80.16
237,BitMine Immersion Technologies (Ondo Tokenized),79.67
238,Broadcom (Ondo Tokenized),79.27
239,UnitedHealth (Ondo Tokenized),79.02
240,SPDR S&P 500 ETF (Ondo Tokenized),78.91
241,PDD Holdings (Ondo Tokenized),78.89
242,Visa (Ondo Tokenized),78.85
243,iShares 0-3 Month Treasury Bond ETF (Ondo Tokenized),78.82
244,JD.com (Ondo Tokenized),78.46
245,Nebius Group (Ondo Tokenized),78.17
246,Tesla (Ondo Tokenized),78.11
247,iShares Core S&P 500 ETF (Ondo Tokenized),77.96
248,Intuitive Machines (Ondo Tokenized),77.81
249,Netflix (Ondo Tokenized),77.75
250,Quantum Computing (Ondo Tokenized),77.64
251,Oklo (Ondo Tokenized),76.76
252,ProShares UltraPro QQQ (Ondo Tokenized),75.83
253,United States Oil Fund (Ondo Tokenized),75.75
254,Micron Technology (Ondo Tokenized),75.02
255,iShares Semiconductor ETF (Ondo Tokenized),74.75
256,NIO (Ondo Tokenized),74.57
257,Alibaba (Ondo Tokenized),73.3
258,SPDR Gold Shares (Ondo Tokenized),73.13
259,ServiceNow (Ondo Tokenized),71.75
260,Rocket Lab (Ondo Tokenized),70.77
261,IBM (Ondo Tokenized),67.72
262,AST SpaceMobile (Ondo Tokenized),66.19
263,iShares Silver Trust (Ondo Tokenized),60.91
264,Redwire (Ondo Tokenized),57.37
265,Chevron (Ondo Tokenized),55.33
